idx,x_pixel,y_pixel
1,4848.882769864283,3672.5859715224415
2,4653.825469237123,3771.3509408909786
3,4482.099158593071,3878.7088781144626
4,4298.11292497652,3996.7794455146022
5,4121.7959673928835,4100.388845706276
6,3948.833780403008,4206.835493652376
7,3770.281259512,4314.96373482066
8,3582.631721603274,4427.938729250076
9,3395.710662404449,4551.2630316917275
10,3214.8997943140516,4647.819844467612
11,3040.9535580400593,4762.71680234151
12,2865.338468172713,4871.86447390385
13,2686.4666393354064,4987.105370888656
14,2494.4214604250233,5100.6405950859225
15,2421.351092025525,4926.5539559337
16,2412.7173314499996,4705.987543826944
17,2411.1031775707497,4496.492564719678
18,2400.026492572935,4290.747705891909
19,2394.1266974409536,4074.3916578900194
20,2387.127348759254,3860.6661734121426
21,2388.068652292472,3641.993623707116
22,2384.9183943869994,3436.482180256841
23,2384.9910573309508,3226.015649324275
24,2368.859325160181,3011.8341899425845
25,2363.508618387829,2801.078169169419
26,2363.191338699954,2590.1017610553567
27,2357.2860807644474,2373.5597470618077
28,2349.5251172862395,2160.095897902138
29,2003.525802470774,2701.3384155376566
30,2059.599895090162,4527.611976919836
31,2817.990041044983,5758.038041488712
32,4403.300168915784,6625.914966680898
33,5283.572283643617,3655.688574634799
34,5455.883292818701,3757.6696105587166
35,5652.032141114617,3856.684020078864
36,5834.937290790161,3947.1602739305345
37,6019.3475397386765,4062.0510583819582
38,6213.521422983033,4158.102942806008
39,6391.121221915401,4268.081558303
40,6585.203295502929,4372.5269663225945
41,6768.732215262793,4471.581175485834
42,6949.737246670887,4571.216803492312
43,7137.633496439718,4676.292286845213
44,7327.082654024664,4775.673760449775
45,7509.2014197785775,4868.1186616325485
46,7706.030245625618,4983.636340569981
47,7398.3767524313325,5237.845901400062
48,7210.105812282226,5345.654416460248
49,7031.85023404111,5458.573390543383
50,6855.347768333322,5574.105085761987
51,6664.264795753858,5681.260951572673
52,6484.537655576526,5783.96404205667
53,6304.086183395603,5900.177541694188
54,6117.683943766311,6011.185996289148
55,5951.760221726227,6119.315254243684
56,5762.492441556976,6233.926605860527
57,5576.102106724256,6339.464268811174
61,5854.859009873677,6596.888236263252
62,7404.319171959539,5670.673080843723
63,,
64,8067.043880728903,2560.921861698115
65,5055.088125000871,3293.061845965753
66,5049.244489603615,3073.144428298149
67,5049.602389861387,2869.0390725895204
68,5040.175671208037,2652.1200530123333
69,5033.003058802111,2436.64240479352
70,5034.41610099637,2225.4677329322785
71,5026.599952409731,2009.6295678884658
72,5014.67199569793,1787.101757586484
73,5019.060071816618,1580.5734007238773
74,5011.2710955433895,1376.6556419704114
75,5001.202889584612,1157.0926674356247
76,5008.484152709186,958.9710870923257
77,4997.396358889619,749.7658555745932
78,4985.453849786609,517.7779350031484
79,5164.766165409622,565.3483039868752
80,5346.252363585566,654.9613694078439
81,5537.549890988372,752.173845467759
82,5724.961116993654,854.9048291090779
83,5915.903901977832,960.0249568848791
84,6099.990236332288,1060.7801047669407
85,6286.382911599494,1164.7992052826937
86,6473.98088127803,1262.6461261727363
87,6664.483891645927,1366.7988103442567
88,6848.466880518434,1467.2997873322945
89,7033.233055723687,1571.302260973498
90,7225.603947378805,1676.507213712446
91,7415.140393201954,1772.0668162797765
92,7594.5018867204635,1876.096579484538
93,7314.454259547261,1264.3160186625194
94,5719.987975420109,416.01092794843595
95,4264.806159989597,490.5870087016829
96,2707.76671343329,1421.466394438233
